Sira_ID,API_ID,Urun_Ismi,Urun_Barkodu,Muadil_Barkodlari,Gorsel_Path
2248,68087,MELOX FORT 15 MG 10 TB,8699540015135,"[""8699536010373"", ""8699559010268"", ""8699525013576"", ""8699569010333"", ""8699536010373"", ""8699559010268"", ""8699525013576"", ""8699569010333""]","[""images/68087/1.png"", ""images/68087/2.png""]"
2249,68088,MELOX 7.5 MG 10 TB,8699540015081,[],"[""images/68088/1.png"", ""images/68088/2.png""]"
2250,68142,NEW LIFE B12 ME.COBALAMIN 60 TB,7640128141006,[],"[""images/68142/1.png"", ""images/68142/2.jpg"", ""images/68142/3.png""]"
2251,68202,XEFO RAPID 8 MG 10 TB,8682758090032,"[""8699514094524"", ""8699514094524""]","[""images/68202/1.png"", ""images/68202/2.jpg"", ""images/68202/3.jpg""]"
2252,68214,ACNEGUN YUZ YIKAMA JELI 200 ML,8697796000011,[],"[""images/68214/1.jpg"", ""images/68214/2.jpg"", ""images/68214/3.jpg""]"
2253,68215,ACNEGUN CANLANDIRICI TONIK 200,8697796000028,[],"[""images/68215/1.jpg"", ""images/68215/2.jpg"", ""images/68215/3.jpg""]"
2254,68216,ACNEGUN GECE KREMI 35 GR,8697796000042,[],"[""images/68216/1.jpg"", ""images/68216/2.jpg"", ""images/68216/3.jpg""]"
2255,68217,ACNEGUN GUNDUZ KREMI 35 GR,8697796000035,[],"[""images/68217/1.jpg"", ""images/68217/2.jpg"", ""images/68217/3.jpg""]"
2256,68218,ACNEGUN SCRUB MASK 35 GR,8697796000059,[],"[""images/68218/1.jpg"", ""images/68218/2.jpg"", ""images/68218/3.jpg""]"
2257,68221,MELCAM 15 MG 10 TB,8699525013576,"[""8699536010373"", ""8699559010268"", ""8699569010333"", ""8699540015135"", ""8699536010373"", ""8699559010268"", ""8699569010333"", ""8699540015135""]","[""images/68221/1.png""]"
2258,68227,SOLG.OMEGA 3-6-9 60 KAP,033984020276,[],"[""images/68227/1.png"", ""images/68227/2.jpg"", ""images/68227/3.png"", ""images/68227/4.png""]"
2259,68347,ZELOXIM 15 MG 10 TB,8699569010333,"[""8699536010373"", ""8699559010268"", ""8699525013576"", ""8699540015135"", ""8699536010373"", ""8699559010268"", ""8699525013576"", ""8699540015135""]","[""images/68347/1.png"", ""images/68347/2.png""]"
2260,68349,FORTINE 100 MG 15 TB,8699569090649,"[""8699680090467"", ""8699580090277"", ""8699536090115"", ""8699525095732"", ""8699680090467"", ""8699580090277"", ""8699536090115"", ""8699525095732""]","[""images/68349/1.png"", ""images/68349/2.png""]"
2261,68375,RUNOMEX FORT 15 MG 10 TB,8699559010268,"[""8699536010373"", ""8699525013576"", ""8699569010333"", ""8699540015135"", ""8699536010373"", ""8699525013576"", ""8699569010333"", ""8699540015135""]","[""images/68375/1.png""]"
2262,68388,EXEN FORT 10 TB,8699536010373,"[""8699559010268"", ""8699525013576"", ""8699569010333"", ""8699540015135"", ""8699559010268"", ""8699525013576"", ""8699569010333"", ""8699540015135""]","[""images/68388/1.png""]"
2263,68402,LANSINOH GOGUS UCU KORYUCU 24MM,5060420230444,[],"[""images/68402/1.jpg"", ""images/68402/2.png"", ""images/68402/3.jpg"", ""images/68402/4.jpg"", ""images/68402/5.jpg"", ""images/68402/6.jpg"", ""images/68402/7.png""]"
2264,68452,VOLTAREN SR 75 MG 10 TB,8699504030471,"[""8699504030303"", ""8699525030016"", ""8699514030188"", ""8699504030303"", ""8699525030016"", ""8699514030188""]","[""images/68452/1.png""]"
2265,68642,AUGMENTIN-ES 600 MG 100 ML SRP,8699522288519,"[""8699525289568"", ""8699525288196"", ""8699508280346"", ""8699508280353"", ""8699569280446"", ""8699569280453"", ""8699717280199"", ""8699525289568"", ""8699525288196"", ""8699508280346"", ""8699508280353"", ""8699569280446"", ""8699569280453"", ""8699717280199""]","[""images/68642/1.png""]"
2266,68670,ARANESP 150 MCG 4 ENJ,8699862950091,[],"[""images/68670/1.png"", ""images/68670/2.png""]"
2267,68687,DICLOMEC-SR 100 MG 10 TB,8699514039280,"[""8699504030037"", ""8699504030020"", ""8699525031815"", ""8699504030037"", ""8699504030020"", ""8699525031815"", ""8699792011220""]","[""images/68687/1.png"", ""images/68687/2.jpg"", ""images/68687/3.png""]"
2268,68688,NAPROSYN-CR 750 MG 10 TB,8699514037491,[],"[""images/68688/1.png"", ""images/68688/2.jpg"", ""images/68688/3.png""]"
2269,68717,ADACAYI  ELMA YAGI  20 ML-TALYA,8697903230027,[],"[""images/68717/1.jpg""]"
2270,68719,ARDIC  YAGI 20 CC (TALYA),8697903230058,[],"[""images/68719/1.jpg""]"
2271,68720,AVAKADO  YAGI 20 CC (TALYA),8697903230065,[],"[""images/68720/1.jpg""]"
2272,68722,BIBERIYE   YAGI 20 CC (TALYA),8697903230089,[],"[""images/68722/1.jpg""]"
2273,68723,BUGDAY   YAGI 20 CC (TALYA),8697903230096,[],"[""images/68723/1.jpg""]"
2274,68724,CAM  TEREBENTIN 20 CC (TALYA),8697903230102,[],"[""images/68724/1.jpg""]"
2275,68726,COREK OTU  YAGI 20 CC (TALYA),8697903230126,[],"[""images/68726/1.jpg""]"
2276,68729,GUL   YAGI  20 ML -TALYA,8697903230171,[],"[""images/68729/1.jpg""]"
2277,68730,HAVUC  YAGI 20 CC (TALYA),8697903230195,[],"[""images/68730/1.jpg""]"
2278,68731,HINDISTAN CEVIZI  YAGI 20(TALYA,8697903230218,[],"[""images/68731/1.jpg""]"
2279,68732,ISIRGAN  TOHUMU  YAGI 20 (TALYA,8697903230225,[],"[""images/68732/1.jpg""]"
2280,68733,JOJOBA  YAGI  20 CC (TALYA),8697903230232,[],"[""images/68733/1.jpg""]"
2281,68734,KAKAO  YAGI 20 CC (TALYA),8697903230249,[],"[""images/68734/1.jpg""]"
2282,68735,KANTARON  YAGI  20 CC (TALYA),8697903230256,[],"[""images/68735/1.jpg""]"
2283,68737,KARANFIL   YAGI 20 CC (TALYA),8697903230270,[],"[""images/68737/1.jpg""]"
2284,68739,KEKIK  YAGI  20 ML -TALYA,8697903230294,[],"[""images/68739/1.jpg""]"
2285,68740,KETEN TOHUMU YAGI 20 CC (TALYA,8697903230300,[],"[""images/68740/1.jpg""]"
2286,68742,LAVANTA   YAGI 20 CC (TALYA),8697903230324,[],"[""images/68742/1.jpg""]"
2287,68743,LIMON   YAGI 20 CC (TALYA),8697903230331,[],"[""images/68743/1.jpg""]"
2288,68747,NANE   YAGI 20 CC (TALYA),8697903230379,[],"[""images/68747/1.jpg""]"
2289,68748,OKALIPTUS YAGI 20 CC (TALYA),8697903230386,[],"[""images/68748/1.jpg""]"
2290,68749,PAPATYA ESANSI 20 CC TALYA,8697903230393,[],"[""images/68749/1.jpg""]"
2291,68751,PORTAKAL  YAGI 20 CC (TALYA),8697903230416,[],"[""images/68751/1.jpg""]"
2292,68753,SARIMSAK  YAGI  20 CC (TALYA),8697903230430,[],"[""images/68753/1.jpg""]"
2293,68754,SUSAM   YAGI  20 CC (TALYA),8697903230447,[],"[""images/68754/1.jpg""]"
2294,68755,BADEM  YAGI (TATLI )20 CC (TALY,8697903230454,[],"[""images/68755/1.jpg""]"
2295,68756,UZUM  CEKIRDEGI  YAGI 20 C(TALY,8697903230461,[],"[""images/68756/1.jpg""]"
2296,68758,YLANG YLANG YAGI 20 CC (TALYA),8697903230485,[],"[""images/68758/1.jpg""]"
2297,68761,TALYA SELULIT YAGI 80 ML,8697903230843,[],"[""images/68761/1.jpg""]"
2298,68762,TALYA SAC BAKIM YAGI 80 ML,8697903230850,[],"[""images/68762/1.jpg""]"
2299,68764,TALYA MASAJ YAGI  (RELAX) 80 ML,8697903230959,[],"[""images/68764/1.jpg""]"
2300,68772,ALABALIK  YAGI 50 CC (TALYA),8697903235039,[],"[""images/68772/1.jpg""]"
2301,68774,HINT YAGI   50 CC (TALYA),8697903235206,[],"[""images/68774/1.jpg""]"
2302,68775,ZEYTIN  YAGI   50 CC (TALYA),8697903235510,[],"[""images/68775/1.jpg""]"
2303,68824,HUMALOG MIX 50 X 100 IU KARTUS,8699673954202,"[""8699673954288""]","[""images/68824/1.png""]"
2304,68839,GLIFOR 1000 MG 100 TB,8699569090717,"[""8699828091240"", ""8699536090634"", ""8699516097851"", ""8699543090092"", ""8699828091240"", ""8699536090634"", ""8699536030142"", ""8699516097851"", ""8699543090092""]","[""images/68839/1.png"", ""images/68839/2.png""]"
2305,68991,OKEY PRZ ROTAR GECIKTIR 10 LU,8693239205180,[],"[""images/68991/1.png""]"
2306,69031,PAXERA 20 MG 28 TB,8699543090160,"[""8699543090672"", ""8699522092802"", ""8699522096947"", ""8699543090672"", ""8699522092802"", ""8699522096947""]","[""images/69031/1.png"", ""images/69031/2.png"", ""images/69031/3.png""]"
2307,69034,ZOLENAT 4 MG 5 ML I.V. FLK,8699541760010,"[""8699606906414"", ""8699606906414""]","[""images/69034/1.jpg"", ""images/69034/2.png""]"
2308,69039,KLINDAVER 600 MG AMP HVR,8699788750584,"[""8699508750405"", ""8699569750024"", ""8699814750052"", ""8699508750405"", ""8699569750024"", ""8699814750052""]","[""images/69039/1.jpg""]"
2309,69068,ROTATEQ 2 ML 1 FLK,8699636650103,[],"[""images/69068/1.png"", ""images/69068/2.jpg""]"
2310,69069,LINKOSOL 600 MG 1 AMP HVR,8699788750614,"[""8699508750177"", ""8681308751027"", ""8699508750177"", ""8681308751027""]","[""images/69069/1.jpg""]"
2311,69071,SOLG.OMNIUM 30 TB,033984020658,[],"[""images/69071/1.png"", ""images/69071/2.jpg"", ""images/69071/3.png""]"
2312,69212,BI-PROFENID 150 MG 10 TB,8699809018341,[],"[""images/69212/1.jpg""]"
2313,69228,SPLENDA 100 TB,8718226401878,[],"[""images/69228/1.jpg""]"
2314,69229,SPLENDA 300 TB,8718226401885,[],"[""images/69229/1.jpg""]"
2315,69232,EKLIPS 100 MG 28 TB (+),8699536090788,"[""8699543090276"", ""8683280337053"", ""8699543090276"", ""8683280337053""]","[""images/69232/1.png""]"
2316,69352,TENSART 8 MG 28 TB,8699514011682,"[""8699536011424"", ""8681428011384"", ""8699540015630"", ""8699525010124"", ""8682340179121"", ""8699536011424"", ""8681428011384"", ""8699540015630"", ""8699525010124"", ""8682340179121""]","[""images/69352/1.png"", ""images/69352/2.png"", ""images/69352/3.png""]"
2317,69353,TENSART 16 MG 28 TB,8699514011699,"[""8699516012632"", ""8699540015661"", ""8699525010131"", ""8699536011400"", ""8682340179138"", ""8699516012632"", ""8699540015661"", ""8699525010131"", ""8699536011400"", ""8682340179138""]","[""images/69353/1.png"", ""images/69353/2.png"", ""images/69353/3.png""]"
2318,69354,TENSART PLUS 16/12.5 MG 28 TB,8699514015840,"[""8699516012663"", ""8699536011455"", ""8699525014344"", ""8699536011448"", ""8699786010055"", ""8699540017009"", ""8699516012663"", ""8699536011455"", ""8699525014344"", ""8699536011448"", ""8699786010055"", ""8699540017009""]","[""images/69354/1.png"", ""images/69354/2.png"", ""images/69354/3.png""]"
2319,69407,COLASTIN-L 10 MG 30 TB,8699525093516,"[""8699543090351"", ""8699580090130"", ""8699525094131"", ""8699536090757"", ""8699536090153"", ""8699543090061"", ""8699532091420"", ""8699578090449"", ""8699569090601"", ""8699514099123"", ""8699532090201"", ""8699543090351"", ""8699580090130"", ""8699525094131"", ""8699536090757"", ""8699536090153"", ""8699543090061"", ""8699532091420"", ""8699578090449"", ""8699569090601"", ""8699514099123"", ""8699532090201""]","[""images/69407/1.png""]"
2320,69408,COLASTIN-L 20 MG 30 TB,8699525093523,"[""8699543090368"", ""8699580090093"", ""8699525094148"", ""8699536090764"", ""8699532091475"", ""8699536090160"", ""8699543090078"", ""8699578090456"", ""8699569090618"", ""8699514099130"", ""8699532095015"", ""8699543090368"", ""8699580090093"", ""8699525094148"", ""8699536090764"", ""8699532091475"", ""8699536090160"", ""8699543090078"", ""8699578090456"", ""8699569090618"", ""8699514099130"", ""8699532095015""]","[""images/69408/1.png""]"
2321,69409,COLASTIN-L 40 MG 30 TB,8699525093530,"[""8699514099147"", ""8699536090177"", ""8699543090085"", ""8699578090463"", ""8699569090625"", ""8699532095190"", ""8699514099147"", ""8699536090177"", ""8699543090085"", ""8699578090463"", ""8699569090625"", ""8699532095190""]","[""images/69409/1.png""]"
2322,69569,CERTICAN 0.25 MG 60 TB,8699504011302,[],"[""images/69569/1.jpg""]"
2323,69618,PANDEV 20 MG 28 TB,8699525043924,"[""8699516044510"", ""8699543040110"", ""8699536040035"", ""8699516044510"", ""8699543040110"", ""8699536040035""]","[""images/69618/1.png""]"
2324,69620,PANDEV 40 MG 28 TB,8699525043948,"[""8699680040028"", ""8699516042240"", ""8682758040020"", ""8682758040037"", ""8699543040042"", ""8699580040012"", ""8699580040029"", ""8699578043414"", ""8699578043421"", ""8699536040011"", ""8699792043924"", ""8699536040028"", ""8699543040059"", ""8699514136125"", ""8699540040151"", ""8699540040168"", ""8699516042257"", ""8680760040021"", ""8699680040035"", ""8699680040028"", ""8699516042240"", ""8682758040020"", ""8682758040037"", ""8699543040042"", ""8699580040012"", ""8699580040029"", ""8699578043414"", ""8699578043421"", ""8699536040011"", ""8699792043924"", ""8699536040028"", ""8699543040059"", ""8699514136125"", ""8684263040021"", ""8699540040151"", ""8699540040168"", ""8699516042257"", ""8680760040021"", ""8699680040035""]","[""images/69620/1.png""]"
2325,69623,RANTUDIL FORTE 60 MG 20 KAP,8698856150103,"[""8699525150394"", ""8699527151016"", ""8699525150394"", ""8699527151016""]","[""images/69623/1.jpg""]"
2326,69659,CYCLADOL 20 MG 10 TB,8699822010100,"[""8681308011152""]","[""images/69659/1.png"", ""images/69659/2.png""]"
2327,69663,MIGREX 2.5 MG 3 TB,8699832090802,"[""8699832090819"", ""8699832090819""]","[""images/69663/1.png""]"
2328,69678,SESU TUY DOK KREM 40 ML HASSAS-,8690605073039,[],"[""images/69678/1.jpg""]"
2329,69701,SERDOLECT 12 MG 28 TB,8699795090581,[],"[""images/69701/1.png"", ""images/69701/2.png""]"
2330,69808,AYRA PLUS 16/12.5 MG 28 TB,8699536011448,"[""8699516012663"", ""8699536011455"", ""8699525014344"", ""8699786010055"", ""8699514015840"", ""8699540017009"", ""8699516012663"", ""8699536011455"", ""8699525014344"", ""8699786010055"", ""8699514015840"", ""8699540017009""]","[""images/69808/1.jpg"", ""images/69808/2.png""]"
2331,69810,VENTAVIS 10 MCG 2 ML 30 AMP,8699546754892,"[""8699783750169"", ""8699525750150"", ""8699783750169"", ""8699525750150""]","[""images/69810/1.png"", ""images/69810/2.png""]"
2332,69863,WEE BIB EMZ SIL DAM.NO:1 875,8690797108755,[],"[""images/69863/1.jpg"", ""images/69863/2.jpg""]"
2333,69866,PAXERA 10 MG 28 TB,8699543090146,"[""8699543090665"", ""8699543090665""]","[""images/69866/1.png"", ""images/69866/2.png"", ""images/69866/3.png""]"
2334,69900,ERDOSTIN PED. 100 ML SUSP,8699516286934,"[""8699514280064"", ""8699569280569"", ""8699516281199"", ""8699514280057"", ""8699569280538"", ""8699514280057"", ""8699569280538""]","[""images/69900/1.png"", ""images/69900/2.png"", ""images/69900/3.jpg""]"
2335,69958,VITAGIL MULTI VIIT.MIN.250 ML,8697791000054,[],"[""images/69958/1.png"", ""images/69958/2.jpg""]"
2336,69967,BEMIKS 30 TB,8681801091347,[],"[""images/69967/1.jpg"", ""images/69967/2.jpg"", ""images/69967/3.png"", ""images/69967/4.png"", ""images/69967/5.png""]"
2337,69968,PLANOR 75 MG 28 TB,8699828090304,"[""8699502091986"", ""8699580090345"", ""8697936093347"", ""8699809098190"", ""8699536093024"", ""8699543090283"", ""8699525095374"", ""8699578090111"", ""8699569090564"", ""8699809097698"", ""8699502091986"", ""8699580090345"", ""8697936093347"", ""8699809098190"", ""8699536093024"", ""8699543090283"", ""8699525095374"", ""8699578090111"", ""8699569090564"", ""8699809097698""]","[""images/69968/1.png"", ""images/69968/2.jpg""]"
2338,69969,OFERTA 5 MG 28 TB,8699536090801,"[""8699543090344"", ""8699540095038"", ""8682340179220"", ""8699578095215"", ""8699514092988"", ""8699543070186"", ""8699543090344"", ""8699540070035"", ""8699540095038"", ""8682340179220"", ""8682340179183"", ""8699578095215"", ""8699293053019"", ""8699514092988"", ""8699514080381""]","[""images/69969/1.png""]"
2339,69970,OFERTA 10 MG 28 TB,8699536090849,"[""8699543090382"", ""8699738090319"", ""8699540095090"", ""8699673098043"", ""8699578095222"", ""8699514093572"", ""8699543070193"", ""8699543090382"", ""8699738090319"", ""8699540070042"", ""8699540095090"", ""8699673098043"", ""8682340179190"", ""8699578095222"", ""8699293053026"", ""8699514093572"", ""8699514080398""]","[""images/69970/1.png""]"
2340,70015,PULCET 40 MG 14 TB,8699540040151,"[""8699680040028"", ""8699516042240"", ""8682758040020"", ""8682758040037"", ""8699543040042"", ""8699580040012"", ""8699580040029"", ""8699578043414"", ""8699578043421"", ""8699536040011"", ""8699525043948"", ""8699792043924"", ""8699536040028"", ""8699543040059"", ""8699514136125"", ""8699540040168"", ""8699516042257"", ""8680760040021"", ""8699680040035"", ""8699680040028"", ""8699516042240"", ""8682758040020"", ""8682758040037"", ""8699543040042"", ""8699580040012"", ""8699580040029"", ""8699578043414"", ""8699578043421"", ""8699536040011"", ""8699525043948"", ""8699792043924"", ""8699536040028"", ""8699543040059"", ""8699514136125"", ""8684263040021"", ""8699540040168"", ""8699516042257"", ""8680760040021"", ""8699680040035""]","[""images/70015/1.png"", ""images/70015/2.png""]"
2341,70070,BRUFEN 400 MG 20,8699548094408,"[""8699717090255"", ""8699717090279"", ""8699717090255"", ""8699717090279""]","[""images/70070/1.png"", ""images/70070/2.png""]"
2342,70102,LYRICA 75 MG 14 KAP,8699532154477,"[""8699543150062"", ""8699680150086"", ""8699680150307"", ""8699543150208"", ""8699536150758"", ""8680833150145"", ""8699514150695"", ""8699532154453"", ""8699514150183"", ""8699543150062"", ""8699680150086"", ""8699680150307"", ""8699543150208"", ""8699536150758"", ""8680833150145"", ""8699514150695"", ""8699532154453"", ""8699514150183""]","[""images/70102/1.png"", ""images/70102/2.png""]"
2343,70103,LYRICA 150 MG 56 KAP,8699532154484,"[""8699680150031"", ""8699543150079"", ""8699536150536"", ""8699514150213"", ""8699680150031"", ""8699543150079"", ""8699536150536"", ""8699514150213""]","[""images/70103/1.png"", ""images/70103/2.png""]"
2344,70104,LYRICA 300 MG 56 KAP,8699532154491,"[""8699680150048"", ""8699536150581"", ""8699514150237"", ""8699680150048"", ""8699536150581"", ""8699514150237""]","[""images/70104/1.png"", ""images/70104/2.png""]"
2345,70121,BRUFEN RET 800 MG 14 TB,8699548033162,[],"[""images/70121/1.png""]"
2346,70130,IRDA 150 MG 28 TB,8699540098459,"[""8699680090276"", ""8699809098008"", ""8699543091075"", ""8699680090276"", ""8699809098008"", ""8699543091075""]","[""images/70130/1.png"", ""images/70130/2.png""]"
2347,70131,IRDA 300 MG 28 TB,8699540098503,"[""8699680090283"", ""8699543091099"", ""8699809097742"", ""8699680090283"", ""8699543091099"", ""8699809097742""]","[""images/70131/1.png"", ""images/70131/2.png""]"
2348,70173,MISOL 50 MG 28 TB,8699540092716,"[""8699502092105"", ""8699536093161"", ""8699532095473"", ""8699502092105"", ""8699536093161"", ""8699532095473""]","[""images/70173/1.png"", ""images/70173/2.png""]"
2349,70175,MISOL 100 MG 28 TB,8699540092747,"[""8699502092129"", ""8699536093147"", ""8699532095428"", ""8699502092129"", ""8699536093147"", ""8699532095428""]","[""images/70175/1.png"", ""images/70175/2.png""]"
2350,70212,CO-IRDA 150/12.5 MG 28 TB,8699540098718,"[""8699680090290"", ""8699809097711"", ""8699543091112"", ""8699680090290"", ""8699809097711"", ""8699543091112""]","[""images/70212/1.png"", ""images/70212/2.jpg""]"
2351,70254,ALZANT 10 MG 100 TB,8699569090687,"[""8699795091151"", ""8699795091144"", ""8699566091168"", ""8699543090658"", ""8699540090866"", ""8699543090641"", ""8699566091120"", ""8699540090842"", ""8699569090670"", ""8699514096467"", ""8699514096436"", ""8699795091151"", ""8699543070308"", ""8699795091144"", ""8699566091168"", ""8699543090658"", ""8699540090866"", ""8699543090641"", ""8699566091120"", ""8699540090842"", ""8699514080053"", ""8699514080541"", ""8699569090670"", ""8699514096467"", ""8699514096436""]","[""images/70254/1.png"", ""images/70254/2.png""]"
2352,70275,CO-IRDA 300/12.5 MG 28 TB,8699540098619,"[""8699680090306"", ""8699543091136"", ""8699809097728"", ""8699680090306"", ""8699543091136"", ""8699809097728""]","[""images/70275/1.png"", ""images/70275/2.png""]"
2353,70356,SOLG.LECITHIN 1360 MG 100 KAP,033984015401,[],"[""images/70356/1.png"", ""images/70356/2.png"", ""images/70356/3.jpg"", ""images/70356/4.png""]"
2354,70375,KAYISI CEK.YAGI  20 CC (TALYA),8697903230638,[],"[""images/70375/1.jpg""]"
2355,70376,TATLI ELMA ESANSI 20CC TALYA,8697903230577,[],"[""images/70376/1.jpg""]"
2356,70381,CAY  AGACI  YAGI 20 CC (TALYA),8697903230614,[],"[""images/70381/1.jpg""]"
2357,70392,DIKLORON 50 MG 20 TB,8699525134028,"[""8699504040012"", ""8699504040012"", ""8699511120011"", ""8698978090035"", ""8699504120097"", ""8699514129110"", ""8699566125429"", ""8680760120037"", ""8699772120102""]","[""images/70392/1.png""]"
2358,70512,VEET SOG AGDA BAND NORM 12LI,8690570555639,[],"[""images/70512/1.png""]"
2359,70599,THIOCTACID 600 MG 30 TB,8698856090270,"[""8699566096002"", ""8699569092506"", ""8680881094064"", ""8699514010913"", ""8699828091271"", ""8680199098471"", ""033984000544"", ""8699566096002"", ""8699569092506"", ""8680881094064"", ""8699514010913"", ""8699828091271"", ""8680199098471""]","[""images/70599/1.png"", ""images/70599/2.jpg"", ""images/70599/3.png""]"
2360,70702,VALCYTE 450 MG 60 TB,8699505093482,"[""8699738090340"", ""8699543091662"", ""8699738090340"", ""8699543091662""]","[""images/70702/1.png"", ""images/70702/2.jpg"", ""images/70702/3.jpg""]"
2361,70778,RANTUDIL RET. 90 MG 10 KAP,8698856150127,"[""8699527150132""]","[""images/70778/1.jpg""]"
2362,70837,IMPACT GLUTAMIN 500 ML,8690632990040,[],"[""images/70837/1.png"", ""images/70837/2.jpg"", ""images/70837/3.png""]"
2363,70963,XENICAL 120 MG 42 KAP,8682340179046,"[""8699828150350""]","[""images/70963/1.png"", ""images/70963/2.png"", ""images/70963/3.jpg""]"
2364,70975,STOCRIN 600 MG 30 TB,8699636010273,[],"[""images/70975/1.png""]"
2365,71344,DOZYL 5 MG 14 TB,8699514097075,"[""8699578090142"", ""8699680090184"", ""8699680090030"", ""8699543090467"", ""8699543090474"", ""8681308091062"", ""8699540096417"", ""8699536090429"", ""8699514097082"", ""8699578090142"", ""8699680090184"", ""8699680090030"", ""8699543090467"", ""8699543090474"", ""8681308091062"", ""8699540070127"", ""8699540096417"", ""8699536070186"", ""8699536090429"", ""8699514080275"", ""8699514097082""]","[""images/71344/1.png""]"
2366,71345,DOZYL 10 MG 28 TB,8699514097105,"[""8699566093346"", ""8699578090074"", ""8699680090047"", ""8699543090498"", ""8681308091086"", ""8699540096462"", ""8699536090450"", ""8699525094537"", ""8699566093346"", ""8699578090074"", ""8699680090047"", ""8681308071002"", ""8699543090498"", ""8681308091086"", ""8699540070134"", ""8699540096462"", ""8699536070193"", ""8699536090450"", ""8699525094537"", ""8699514080305""]","[""images/71345/1.png""]"
2367,71374,EXJADE 125 MG 28 TB,8699504070019,"[""8699680070063"", ""8699543070353"", ""8699514070115"", ""8699540030886"", ""8699680070063"", ""8699543070353"", ""8699514070115""]","[""images/71374/1.png"", ""images/71374/2.png""]"
2368,71375,EXJADE 250 MG 28 TB,8699504070026,"[""8699680070070"", ""8699543070360"", ""8699514070122"", ""8699540030893"", ""8699680070070"", ""8699543070360"", ""8699514070122""]","[""images/71375/1.png""]"
2369,71376,EXJADE 500 MG 28 TB,8699504070033,"[""8699680070087"", ""8699738070038"", ""8699536070285"", ""8680199078824"", ""8699514070139"", ""8699543070377"", ""8699540030909"", ""8684521779410"", ""8699680070087"", ""8699738070038"", ""8699536070285"", ""8680199078824"", ""8699514070139"", ""8699543070377""]","[""images/71376/1.png""]"
2370,71382,EMSELEX 7.5 MG 28 TB,8699874080120,[],"[""images/71382/1.jpg"", ""images/71382/2.png""]"
2371,71383,EMSELEX 15 MG 28 TB,8699874080137,[],"[""images/71383/1.jpg"", ""images/71383/2.png""]"
2372,71407,MOMECON %0.1 30 GR KREM,8699569350095,"[""8699566354379"", ""8683280337107"", ""8699512008769"", ""8699561350130"", ""8699566354379"", ""8699512008769"", ""8699561350130""]","[""images/71407/1.jpg"", ""images/71407/2.png""]"
2373,71433,BETAGAUZE GAZ KOMPRES 5 LI,8683249002466,[],"[""images/71433/1.jpg""]"
2374,71575,DEO.FRESH PUMP ERKEK 75 ML,4005808726240,[],"[""images/71575/1.jpg""]"
2375,71620,NIVEA BODY MILK 400 ML,4005808236879,[],"[""images/71620/1.jpg""]"
2376,71646,CANBEBE JUMBO NO:6 17 LI,8690742165567,[],"[""images/71646/1.jpg""]"
2377,71647,J.J BABY BEDTIME SAMP. 500 ML,3574661457680,[],"[""images/71647/1.jpg""]"
2378,71652,J.J BABY BEDTIME YAG 300 ML,3574661749075,[],"[""images/71652/1.jpg""]"
2379,71659,DIAFORMIN 850 MG 100 TB,8699543090122,"[""8699536090627"", ""8699569090366"", ""8699503030120"", ""8699536090627"", ""8699569090366"", ""8699503030120""]","[""images/71659/1.jpg""]"
2380,71694,CANPED MESANE PEDI MEDIUM 10 L,8690742310929,[],"[""images/71694/1.jpg""]"
2381,71695,CANPED MESANE PEDI LARGE 10 LU,8690742310943,[],"[""images/71695/1.jpg""]"
2382,71770,KONDROMIN 60 TB,8699708120084,[],"[""images/71770/1.png"", ""images/71770/2.png"", ""images/71770/3.jpg"", ""images/71770/4.png""]"
2383,71792,NUTRIGEN PED UZUM 200 ML SRP,8692860200007,[],"[""images/71792/1.png"", ""images/71792/2.jpg"", ""images/71792/3.jpg"", ""images/71792/4.jpg"", ""images/71792/5.jpg"", ""images/71792/6.jpg""]"
2384,71798,FORTINI 1.5 MULTIFIBER VANILYA,8699745001803,"[""8699745001810"", ""8699745001827"", ""8699745001810"", ""8699745001827"", ""8699745001834"", ""8699745017408""]","[""images/71798/1.png""]"
2385,71799,FORTINI 1.5  MULTIFIBER CILEK,8699745001810,"[""8699745001803"", ""8699745001827"", ""8699745001803"", ""8699745001827"", ""8699745001834"", ""8699745017408""]","[""images/71799/1.png""]"
2386,71800,FORTINI 1.5  MULTIFIBER MUZ,8699745001827,"[""8699745001803"", ""8699745001810"", ""8699745001803"", ""8699745001810"", ""8699745001834"", ""8699745017408""]","[""images/71800/1.png"", ""images/71800/2.jpg""]"
2387,71801,FORTINI 1.5 MULTIFIBER CIKOLATA,8699745001834,"[""8699745001803"", ""8699745001810"", ""8699745001827"", ""8699745017408""]","[""images/71801/1.jpg"", ""images/71801/2.jpg"", ""images/71801/3.png""]"
2388,71805,MAXIMUS 100 MG 15 TB,8699580090277,"[""8699680090467"", ""8699536090115"", ""8699525095732"", ""8699569090649"", ""8699680090467"", ""8699536090115"", ""8699525095732"", ""8699569090649""]","[""images/71805/1.jpg"", ""images/71805/2.png""]"
2389,71808,PRABEX 20 MG 14 TB,8699516047443,"[""8681911040013"", ""8699680040042"", ""8699516047467"", ""8699591040018"", ""8699525040022"", ""8697929040150"", ""8699293043799"", ""8699569040071"", ""8699680040011"", ""8681911040013"", ""8699680040042"", ""8699516047467"", ""8699591040018"", ""8699525040022"", ""8697929040150"", ""8699293043799"", ""8699569040071"", ""8699680040011""]","[""images/71808/1.png"", ""images/71808/2.png""]"
